symbol,timestamp,open,high,low,close,volume
KO,2018-06-12,44.1300,44.4200,44.0750,44.4100,8174184
KO,2018-06-11,43.9500,44.2450,43.8900,44.1300,7526128
KO,2018-06-08,43.5700,44.0000,43.5600,43.9500,12078768
KO,2018-06-07,43.3300,43.7300,43.3300,43.4400,11948051
KO,2018-06-06,43.0600,43.4600,43.0400,43.4600,9202924
KO,2018-06-05,43.5000,43.5400,43.1000,43.1100,9975899
KO,2018-06-04,43.3600,43.5900,43.2900,43.4900,11727577
KO,2018-06-01,43.1000,43.3200,43.0400,43.1200,10664650
KO,2018-05-31,43.2000,43.2100,42.6800,43.0000,15571263
KO,2018-05-30,42.7700,43.2800,42.7000,43.1300,10114223
KO,2018-05-29,42.1200,42.8500,42.1000,42.6800,14826877
KO,2018-05-25,42.3400,42.5800,42.2000,42.4000,8806470
KO,2018-05-24,42.4000,42.4700,42.1850,42.3200,9269609
KO,2018-05-23,42.2500,42.4500,41.9300,42.4000,8971427
KO,2018-05-22,42.5000,42.6000,42.2050,42.2500,8222864
KO,2018-05-21,42.3100,42.5200,42.2700,42.4100,9110232
KO,2018-05-18,42.3000,42.3800,42.0800,42.1800,11950173
KO,2018-05-17,42.0100,42.3500,41.8700,42.3000,14857406
KO,2018-05-16,41.7400,41.9400,41.5400,41.5500,11590491
KO,2018-05-15,41.7800,41.9200,41.4500,41.7200,16449729
KO,2018-05-14,42.2500,42.3150,41.9000,42.0400,10715475
KO,2018-05-11,42.2400,42.4700,42.0400,42.1400,6331948
KO,2018-05-10,41.9900,42.3600,41.9400,42.1800,7924184
KO,2018-05-09,41.9700,42.2300,41.6700,41.7800,9295152
KO,2018-05-08,41.9700,42.0900,41.6900,41.8100,15062159
KO,2018-05-07,42.3400,42.4900,41.9642,42.1400,9335968
KO,2018-05-04,41.7900,42.5000,41.7700,42.3600,10946198
KO,2018-05-03,42.2200,42.4000,41.5200,41.8900,18352236
KO,2018-05-02,42.4000,42.5850,41.9400,42.0600,13736366
KO,2018-05-01,42.9600,42.9900,42.1800,42.5900,11514189
KO,2018-04-30,43.5000,43.6900,42.9700,43.2100,16037685
KO,2018-04-27,42.7300,43.3400,42.7100,43.3100,9777912
KO,2018-04-26,42.4000,43.1000,42.2600,42.7500,13560998
KO,2018-04-25,42.7400,42.8900,41.9050,42.4300,20414324
KO,2018-04-24,43.9800,44.1000,42.7300,43.0700,18523876
KO,2018-04-23,43.7400,43.9900,43.5600,43.9800,11878473
KO,2018-04-20,44.3100,44.4100,43.5800,43.7400,14690701
KO,2018-04-19,44.3400,44.4700,44.0150,44.3100,10370411
KO,2018-04-18,44.9000,44.9700,44.3250,44.5100,7429015
KO,2018-04-17,44.9500,45.0300,44.6500,44.8800,8406404
KO,2018-04-16,44.6500,44.8900,44.4000,44.6800,8962115
KO,2018-04-13,44.1900,44.6900,44.1400,44.5100,10774160
KO,2018-04-12,44.0800,44.4050,43.9500,44.0300,8476392
KO,2018-04-11,43.8100,44.1400,43.7600,43.9900,8424265
KO,2018-04-10,44.0700,44.1800,43.7150,43.9900,10687338
KO,2018-04-09,44.0300,44.3100,43.7800,43.8300,11913408
KO,2018-04-06,44.2800,44.5200,43.7100,43.9200,11495075
KO,2018-04-05,44.2800,44.6100,43.9400,44.4000,11707816
KO,2018-04-04,43.1400,44.4000,43.1100,44.2400,13563321
KO,2018-04-03,42.9800,43.5350,42.8400,43.3800,15484644
KO,2018-04-02,43.4400,43.5000,42.4730,42.6700,14207925
KO,2018-03-29,43.5400,43.9200,43.2900,43.4300,10450497
KO,2018-03-28,43.0000,43.7000,43.0000,43.3200,16277393
KO,2018-03-27,42.7000,43.3100,42.5250,42.8900,11595357
KO,2018-03-26,42.6100,42.8099,42.2500,42.6900,10939927
KO,2018-03-23,42.8200,43.1556,42.2900,42.3300,13190877
KO,2018-03-22,42.8800,43.3650,42.7000,42.7600,12134714
KO,2018-03-21,43.1300,43.4500,42.7900,43.0000,13029766
KO,2018-03-20,43.3200,43.4800,43.0100,43.1600,13430443
KO,2018-03-19,43.4600,43.7100,43.1750,43.2600,12285923
KO,2018-03-16,43.7000,44.0200,43.4500,43.4600,25429988
KO,2018-03-15,43.8800,44.0000,43.5500,43.6700,12405834
KO,2018-03-14,44.3800,44.4300,43.7250,43.7800,15156179
KO,2018-03-13,44.6700,44.8250,44.4000,44.5700,11055085
KO,2018-03-12,44.9500,45.0900,44.3300,44.5300,11831981
KO,2018-03-09,44.5700,44.8200,44.3900,44.8200,9748419
KO,2018-03-08,43.9000,44.4600,43.8000,44.4500,12081945
KO,2018-03-07,43.5900,43.9200,43.4700,43.8200,10881683
KO,2018-03-06,43.9500,44.0500,43.5900,43.9300,10010478
KO,2018-03-05,43.5700,43.9350,43.5000,43.8900,11992712
KO,2018-03-02,43.2500,43.8000,43.2400,43.7200,14050081
KO,2018-03-01,43.1000,43.6400,42.8200,43.4300,17746825
KO,2018-02-28,43.8300,43.9100,43.2200,43.2200,11800531
KO,2018-02-27,44.1500,44.3110,43.6200,43.6200,12664020
KO,2018-02-26,44.2300,44.3900,43.8100,44.0300,12631455
KO,2018-02-23,43.5800,44.0600,43.4200,44.0400,7404783
KO,2018-02-22,43.4300,43.8200,43.2200,43.5200,12307608
KO,2018-02-21,44.1100,44.2600,43.3300,43.3400,12724257
KO,2018-02-20,44.7500,44.8300,43.9400,43.9900,14030169
KO,2018-02-16,45.5700,45.6401,44.7200,44.9800,17171198
KO,2018-02-15,44.2500,44.8300,44.1200,44.7800,13422779
KO,2018-02-14,44.0200,44.1900,43.6300,44.1000,13425655
KO,2018-02-13,43.9200,44.4100,43.6900,44.1900,13149647
KO,2018-02-12,43.5600,44.2300,43.3721,43.9700,14646457
KO,2018-02-09,43.3600,43.4600,42.1900,43.1300,22791612
KO,2018-02-08,44.6200,44.6200,43.0700,43.1000,22832594
KO,2018-02-07,44.5800,45.4950,44.2800,44.5600,17967097
KO,2018-02-06,43.8700,44.7400,43.4400,44.6700,25099084
KO,2018-02-05,46.6500,46.9200,44.4110,44.8900,23081141
KO,2018-02-02,47.3500,47.4100,46.6300,46.7300,12773979
KO,2018-02-01,47.4100,47.7300,47.1100,47.4500,10274082
KO,2018-01-31,47.4500,47.9000,47.3700,47.5900,10733824
KO,2018-01-30,47.7300,48.1600,47.4000,47.4100,11861505
KO,2018-01-29,48.2100,48.4600,47.5750,47.7000,11295065
KO,2018-01-26,47.7800,48.6150,47.7400,48.5300,15576029
KO,2018-01-25,47.7000,48.0000,47.7000,47.8400,11743735
KO,2018-01-24,47.5300,47.9500,47.4800,47.8300,15841198
KO,2018-01-23,47.2100,47.7000,47.1300,47.4500,10436965
KO,2018-01-22,47.1400,47.5000,47.0900,47.3800,9496464
KO,2018-01-19,46.9900,47.2500,46.8700,47.1600,15954827
